movie,original_language,popularity,vote_average,vote_count,release_date,production_budget,worldwide_gross,genres,release_month
#horror,de,6.099,3.3,102,2015-11-20,1500000,0,multiple_genres,11
10 cloverfield lane,en,17.892,6.9,4629,2016-03-11,5000000,108286422,multiple_genres,3
10 days in a madhouse,en,0.955,5.4,7,2015-11-11,12000000,14616,drama,11
12 strong,en,13.183,5.6,1312,2018-01-19,35000000,71118378,multiple_genres,1
12 years a slave,en,16.493,7.9,6631,2013-10-18,20000000,181025343,multiple_genres,10
127 hours,en,11.435,7.0,4469,2010-11-05,18000000,60217171,multiple_genres,11
13 sins,en,10.899,6.3,576,2014-04-18,4000000,47552,multiple_genres,4
1982,en,0.6,7.5,2,2016-03-01,1000000,0,drama,3
2 guns,en,14.8,6.5,2368,2013-08-02,61000000,132493015,multiple_genres,8
20 feet from stardom,en,7.866,7.4,127,2013-06-14,1000000,5892466,multiple_genres,6
21 jump street,en,14.836,6.8,6527,2012-03-16,42000000,202812429,multiple_genres,3
22 jump street,en,11.176,6.9,5167,2014-06-13,50000000,331333876,multiple_genres,6
23 blast,en,2.213,6.5,31,2014-10-24,1000000,549185,multiple_genres,10
3,en,1.816,6.0,2,2011-09-16,7200000,295492,multiple_genres,9
3 backyards,en,2.079,4.3,6,2011-03-11,300000,39475,drama,3
3 days to kill,en,11.011,6.1,1279,2014-02-21,28000000,38959900,multiple_genres,2
30 minutes or less,en,11.315,5.6,825,2011-08-12,28000000,40966716,multiple_genres,8
30 nights of paranormal activity with the devil inside the girl with the dragon tattoo,en,2.967,3.0,42,2013-01-15,3000000,0,comedy,1
300: rise of an empire,en,23.68,6.0,3870,2014-03-07,110000000,330780051,multiple_genres,3
31,en,8.683,5.2,370,2016-10-21,1500000,922727,multiple_genres,10
42,en,11.28,7.0,1028,2013-04-12,31000000,97470701,multiple_genres,4
47 ronin,en,25.049,6.0,2080,2013-12-25,175000000,151716815,multiple_genres,12
5 days of war,en,8.689,5.7,102,2011-08-19,12000000,87793,multiple_genres,8
50 to 1,en,2.852,6.2,25,2014-03-21,10000000,1069454,drama,3
50/50,en,12.451,7.1,2111,2011-09-30,8000000,41334735,documentary,9
8 days,en,0.84,8.0,2,2015-10-13,2500000,0,multiple_genres,10
8: the mormon proposition,en,2.19,6.2,11,2010-06-18,2500000,100280,documentary,6
90 minutes in heaven,en,5.798,5.3,63,2015-09-11,5000000,4816142,drama,9
a bad moms christmas,en,16.604,6.3,1044,2017-11-01,28000000,127710550,multiple_genres,11
a better life,en,5.885,7.1,97,2011-06-24,10000000,1884251,drama,6
a dangerous method,en,10.352,6.3,1066,2011-11-23,20000000,14807531,multiple_genres,11
a few best men,en,8.84,5.8,247,2015-05-05,15000000,17224539,multiple_genres,5
a ghost story,en,11.886,7.0,906,2017-07-07,100000,2769782,multiple_genres,7
a good day to die hard,en,15.858,5.2,4437,2013-02-14,92000000,304249198,multiple_genres,2
